subregion,year,sex,total
Southern Europe,2006,Male,1372
Southern Europe,2007,Female,519
Southern Europe,2007,Male,1227
Southern Europe,2008,Female,528
Southern Europe,2008,Male,1317
Southern Europe,2009,Female,445
Southern Europe,2009,Male,1222
Southern Europe,2010,Female,483
Southern Europe,2010,Male,1230
Southern Europe,2011,Female,519
Southern Europe,2011,Male,1160
Southern Europe,2012,Female,479
Southern Europe,2012,Male,1200
Southern Europe,2013,Female,495
Southern Europe,2013,Male,1138
Southern Europe,2014,Female,518
Southern Europe,2014,Male,989
Southern Europe,2015,Female,449
Southern Europe,2015,Male,946
Southern Europe,2016,Female,384
Southern Europe,2016,Male,807
Southern Europe,2017,Female,396
Southern Europe,2017,Male,739
Southern Europe,2018,Female,356
Southern Europe,2018,Male,727
Southern Europe,2019,Female,366
Southern Europe,2019,Male,674
Southern Europe,2020,Female,338
Southern Europe,2020,Male,679
Southern Europe,2021,Female,313
Southern Europe,2021,Male,574
Sub-Saharan Africa,2001,Female,11
Sub-Saharan Africa,2001,Male,14
Sub-Saharan Africa,2004,Female,10
Sub-Saharan Africa,2004,Male,28
Sub-Saharan Africa,2005,Female,8
Sub-Saharan Africa,2005,Male,36
Sub-Saharan Africa,2006,Female,13
Sub-Saharan Africa,2006,Male,23
Sub-Saharan Africa,2007,Female,2741
Sub-Saharan Africa,2007,Male,16421
Sub-Saharan Africa,2008,Female,2692
Sub-Saharan Africa,2008,Male,15758
Sub-Saharan Africa,2009,Female,2948
Sub-Saharan Africa,2009,Male,17980
Sub-Saharan Africa,2010,Female,2614
Sub-Saharan Africa,2010,Male,14203
Sub-Saharan Africa,2011,Female,3300
Sub-Saharan Africa,2011,Male,19081
Sub-Saharan Africa,2012,Female,3719
Sub-Saharan Africa,2012,Male,19835
Sub-Saharan Africa,2013,Female,1282
Sub-Saharan Africa,2013,Male,6962
Sub-Saharan Africa,2014,Female,1406
Sub-Saharan Africa,2014,Male,6774
Sub-Saharan Africa,2015,Female,1581
Sub-Saharan Africa,2015,Male,6070
Sub-Saharan Africa,2016,Female,1490
Sub-Saharan Africa,2016,Male,5313
Sub-Saharan Africa,2017,Female,4428
Sub-Saharan Africa,2017,Male,22364
Sub-Saharan Africa,2018,Female,4216
Sub-Saharan Africa,2018,Male,23410
Sub-Saharan Africa,2019,Female,3232
Sub-Saharan Africa,2019,Male,19446
Sub-Saharan Africa,2020,Female,6
Sub-Saharan Africa,2020,Male,28
Sub-Saharan Africa,2021,Female,622
Sub-Saharan Africa,2021,Male,1868
Western Asia,2001,Female,64
Western Asia,2001,Male,180
Western Asia,2002,Female,57
Western Asia,2002,Male,228
Western Asia,2003,Female,56
Western Asia,2003,Male,220
Western Asia,2004,Female,639
Western Asia,2004,Male,2472
Western Asia,2005,Female,708
Western Asia,2005,Male,2808
Western Asia,2006,Female,760
Western Asia,2006,Male,3241
Western Asia,2007,Female,669
Western Asia,2007,Male,3118
Western Asia,2008,Female,747
Western Asia,2008,Male,3587
Western Asia,2009,Female,712
Western Asia,2009,Male,3203
Western Asia,2010,Female,142
Western Asia,2010,Male,486
Western Asia,2011,Female,847
Western Asia,2011,Male,3102
Western Asia,2012,Female,744
Western Asia,2012,Male,2830
Western Asia,2013,Female,769
Western Asia,2013,Male,3194
Western Asia,2014,Female,148
Western Asia,2014,Male,347
Western Asia,2015,Female,194
Western Asia,2015,Male,428
Western Asia,2016,Female,553
Western Asia,2016,Male,2239
Western Asia,2017,Female,646
Western Asia,2017,Male,2657
Western Asia,2018,Female,599
Western Asia,2018,Male,2418
Western Asia,2019,Female,573
Western Asia,2019,Male,2150
Western Asia,2020,Female,1362
Western Asia,2020,Male,4547
Western Asia,2021,Female,160
Western Asia,2021,Male,309
Western Europe,2001,Female,779
Western Europe,2001,Male,1125
Western Europe,2002,Female,743
Western Europe,2002,Male,1084
Western Europe,2003,Female,753
Western Europe,2003,Male,1081
Western Europe,2004,Female,716
Western Europe,2004,Male,933
Western Europe,2005,Female,707
Western Europe,2005,Male,1000
Western Europe,2006,Female,658
Western Europe,2006,Male,907
Western Europe,2007,Female,646
Western Europe,2007,Male,816
Western Europe,2008,Female,577
Western Europe,2008,Male,765
Western Europe,2009,Female,539
Western Europe,2009,Male,755
Western Europe,2010,Female,567
Western Europe,2010,Male,684
Western Europe,2011,Female,577
Western Europe,2011,Male,269
Western Europe,2012,Female,538
Western Europe,2012,Male,281
Western Europe,2013,Female,478
Western Europe,2013,Male,654
Western Europe,2014,Female,544
Western Europe,2014,Male,586
Western Europe,2015,Female,499
Western Europe,2015,Male,640
Western Europe,2016,Female,797
Western Europe,2016,Male,1103
Western Europe,2017,Female,868
Western Europe,2017,Male,1130
Western Europe,2018,Female,760
Western Europe,2018,Male,1097
Western Europe,2019,Female,720
Western Europe,2019,Male,1069
Western Europe,2020,Female,670
Western Europe,2020,Male,1025
Western Europe,2021,Female,465
Western Europe,2021,Male,537
