country,year,disease,average
Israel,2008,Respiratory disease,0.13887282
Italy,2008,Cancer,0.47437647
Italy,2008,Cardiovascular disease,0.11260301
Italy,2008,Respiratory disease,0.06943641
Jamaica,2008,Cancer,0.557033
Jamaica,2008,Cardiovascular disease,0.31392354
Jamaica,2008,Respiratory disease,0.3008911
Japan,2008,Cancer,0.42765757
Japan,2008,Cardiovascular disease,0.11601522
Japan,2008,Respiratory disease,0.06943641
Jordan,2008,Cancer,0.54984546
Jordan,2008,Cardiovascular disease,0.71315235
Jordan,2008,Respiratory disease,0.27774563
Kazakhstan,2008,Cancer,0.7942212
Kazakhstan,2008,Cardiovascular disease,1.108969
Kazakhstan,2008,Respiratory disease,0.47448212
Kenya,2008,Cancer,0.6396895
Kenya,2008,Cardiovascular disease,0.4708853
Kenya,2008,Respiratory disease,0.7985187
Kiribati,2008,Cancer,0.24437577
Kiribati,2008,Cardiovascular disease,0.6722058
Kiribati,2008,Respiratory disease,0.54391855
Kuwait,2008,Cancer,0.29109466
Kuwait,2008,Cardiovascular disease,0.46406087
Kuwait,2008,Respiratory disease,0.11572734
Kyrgyzstan,2008,Cancer,0.707971
Kyrgyzstan,2008,Cardiovascular disease,1.0356064
Kyrgyzstan,2008,Respiratory disease,0.7290823
Lao People's Democratic Republic,2008,Cancer,0.6217207
Lao People's Democratic Republic,2008,Cardiovascular disease,0.6722058
Lao People's Democratic Republic,2008,Respiratory disease,1.1457007
Latvia,2008,Cancer,0.72593975
Latvia,2008,Cardiovascular disease,0.6124921
Latvia,2008,Respiratory disease,0.13887282
Lebanon,2008,Cancer,0.6576583
Lebanon,2008,Cardiovascular disease,0.3821678
Lebanon,2008,Respiratory disease,0.25460017
Lesotho,2008,Cancer,0.39171997
Lesotho,2008,Cardiovascular disease,0.755805
Lesotho,2008,Respiratory disease,1.2498554
Liberia,2008,Cancer,0.5354704
Liberia,2008,Cardiovascular disease,0.64490813
Liberia,2008,Respiratory disease,1.0299734
Libya,2008,Cancer,0.50312656
Libya,2008,Cardiovascular disease,0.545954
Libya,2008,Respiratory disease,0.31246385
Lithuania,2008,Cancer,0.7331273
Lithuania,2008,Cardiovascular disease,0.5323051
Lithuania,2008,Respiratory disease,0.16201828
Luxembourg,2008,Cancer,0.49593905
Luxembourg,2008,Cardiovascular disease,0.1671984
Luxembourg,2008,Respiratory disease,0.18516375
Madagascar,2008,Cancer,0.5534392
Madagascar,2008,Cardiovascular disease,0.49306467
Madagascar,2008,Respiratory disease,0.7985187
Malawi,2008,Cancer,0.58578306
Malawi,2008,Cardiovascular disease,1.0816714
Malawi,2008,Respiratory disease,1.4465919
Malaysia,2008,Cancer,0.5067203
Malaysia,2008,Cardiovascular disease,0.37022504
Malaysia,2008,Respiratory disease,0.41661844
Maldives,2008,Cancer,0.21203192
Maldives,2008,Cardiovascular disease,0.3906983
Maldives,2008,Respiratory disease,0.85638237
Mali,2008,Cancer,0.6145332
Mali,2008,Cardiovascular disease,0.49818298
Mali,2008,Respiratory disease,0.82166415
Malta,2008,Cancer,0.44203264
Malta,2008,Cardiovascular disease,0.17061062
Malta,2008,Respiratory disease,0.12730008
Marshall Islands,2008,Cancer,0.59656435
Marshall Islands,2008,Cardiovascular disease,2.4346135
Marshall Islands,2008,Respiratory disease,2.2566833
Mauritania,2008,Cancer,0.5282829
Mauritania,2008,Cardiovascular disease,0.61761045
Mauritania,2008,Respiratory disease,0.98368245
Mauritius,2008,Cancer,0.39531374
Mauritius,2008,Cardiovascular disease,0.7506867
Mauritius,2008,Respiratory disease,0.33560932
Mexico,2008,Cancer,0.33781356
Mexico,2008,Cardiovascular disease,0.37022504
Mexico,2008,Respiratory disease,0.23145469
Micronesia (Federated States of),2008,Cancer,0.39531374
Micronesia (Federated States of),2008,Cardiovascular disease,0.6636753
Micronesia (Federated States of),2008,Respiratory disease,0.5902095
Monaco,2008,Cancer,0.47437647
Monaco,2008,Cardiovascular disease,0.11601522
Monaco,2008,Respiratory disease,0.092581876
Mongolia,2008,Cancer,1.0206282
Mongolia,2008,Cardiovascular disease,0.68414855
Mongolia,2008,Respiratory disease,0.25460017
Montenegro,2008,Cancer,0.6109394
Montenegro,2008,Cardiovascular disease,0.50500745
Montenegro,2008,Respiratory disease,0.24302743
Morocco,2008,Cancer,0.45640767
Morocco,2008,Cardiovascular disease,0.36510673
Morocco,2008,Respiratory disease,0.2661729
Mozambique,2008,Cancer,0.51390785
Mozambique,2008,Cardiovascular disease,0.84964085
Mozambique,2008,Respiratory disease,1.4465919
Myanmar,2008,Cancer,0.5821893
Myanmar,2008,Cardiovascular disease,0.54766005
Myanmar,2008,Respiratory disease,0.7522277
Namibia,2008,Cancer,0.26234457
Namibia,2008,Cardiovascular disease,0.89399964
Namibia,2008,Respiratory disease,0.97210974
Nauru,2008,Cancer,0.8301588
